"","x"
"1",101.475086038186
"2",97.5366742078199
"3",100.245006300816
"4",102.353513986727
"5",99.1281703844335
"6",98.4238590555506
"7",102.25236289453
"8",100.337211868467
"9",98.4307679629358
"10",98.1364542579261
"11",99.6815347175044
"12",100.734594864038
"13",98.6968213013757
"14",99.054293406938
"15",101.698067815974
"16",101.393414162639
"17",99.6232226830337
"18",98.8708368067125
"19",99.7256012501346
"20",102.060397313454
"21",96.5743308763059
"22",99.1985567157576
"23",103.113935131781
"24",101.364335553548
"25",99.1552470543062
"26",99.9230944916271
"27",98.9327183546013
"28",100.799369689884
"29",98.2589210426905
"30",100.469561195659
"31",100.973962748697
"32",101.539747122693
"33",101.57388509618
"34",98.2592393398885
"35",99.2580857536752
"36",97.5556370008429
"37",99.8807857650125
"38",98.9112274717831
"39",99.9228940106826
"40",101.191163671037
"41",99.8774707723537
"42",101.0791702385
"43",98.1142549818947
"44",98.5111674026873
"45",99.9998683113639
"46",98.458056455694
"47",97.4702474513331
"48",99.1140371895823
"49",99.9404351111419
"50",99.3271133958581
"51",98.947137938881
"52",99.7317017864263
"53",100.34808127984
"54",100.090440891932
"55",99.8157025806358
"56",101.894003966579
"57",102.275996436598
"58",100.665630013012
"59",98.9731843440256
"60",99.9800355704121
"61",99.8281224371039
"62",101.697330057151
"63",98.3479302861536
"64",101.491741541219
"65",98.8345917987305
"66",98.3971690247009
"67",101.933577462647
"68",100.808548594564
"69",100.855538622572
"70",100.448431751489
"71",100.710891824287
"72",98.5901645961412
"73",100.232841058424
"74",99.6582887335081
"75",100.676959389962
"76",99.4700457524187
"77",99.4093063767513
"78",100.816434341159
"79",101.201274975481
"80",99.3998325383849
"81",100.078956794447
"82",99.2852771566561
"83",98.8856522386257
"84",99.2437648115123
"85",98.8465537764254
"86",100.770106986933
"87",101.088197159045
"88",100.900274260448
"89",100.430064163791
"90",100.456393575055
"91",98.5142783978237
"92",101.091140057398
"93",99.1942721998565
"94",99.8359986012466
"95",99.7807606826539
"96",98.348562301073
"97",98.8795670228568
"98",101.273250229589
"99",98.0843197218873
"100",99.0903614468198
"101",98.3465071611365
"102",96.8146458991873
"103",98.1663876889342
"104",101.248916472289
"105",98.7728945167267
"106",99.0548017754599
"107",100.299268305915
"108",102.432728405626
"109",98.74765279466
"110",98.6030813319079
"111",100.975908267937
"112",98.6380102716569
"113",101.093613378882
"114",101.697104764738
"115",99.3502791347661
"116",100.832321445406
"117",99.7120365527719
"118",101.663473092008
"119",100.476158721175
"120",100.770082853526
"121",100.708446493171
"122",98.0512600880034
"123",97.1555881485421
"124",99.1200848493584
"125",98.1376098038481
"126",100.587050523747
"127",99.4908833311144
"128",100.625064270771
"129",102.500005970345
"130",101.788732021309
"131",100.875428829228
"132",100.666199799319
"133",99.2577998188031
"134",100.596200538149
"135",97.6940295627965
"136",99.5702724716524
"137",101.859059402737
"138",101.170821155172
"139",101.550350456723
"140",99.6706791820954
"141",98.3229118475831
"142",100.667755822537
"143",101.532480722385
"144",100.303081959354
"145",100.478747394789
"146",98.9695938841
"147",100.560548668875
"148",99.4481992745246
"149",99.4143797148257
"150",101.79351670223
"151",100.386321291
"152",100.121759069817
"153",102.72931607855
"154",97.7575147757362
"155",100.547335575942
"156",97.9935967186584
"157",100.680326039535
"158",98.3313520179562
"159",96.8698525104451
"160",104.074226459768
"161",101.27011893348
"162",102.190935487731
"163",102.922026664609
"164",100.354497620032
"165",102.241493231661
"166",98.7224130250595
"167",102.337257502746
"168",100.283446672465
"169",98.5913123424893
"170",98.9127736292414
"171",99.6463744757658
"172",100.493669678907
"173",101.815526934288
"174",99.4844866792731
"175",101.854908949489
"176",100.411521404343
"177",100.910924661515
"178",102.144844957836
"179",100.581850839901
"180",97.4854157589176
"181",98.3218661155473
"182",100.461030715387
"183",100.814453644513
"184",98.1537833620487
"185",99.961006978789
"186",100.41175918516
"187",100.537198916913
"188",100.338720386999
"189",101.177314997362
"190",100.565633911746
"191",97.9377820098318
"192",99.5214892417651
"193",99.3326587610445
"194",100.050052476559
"195",99.5160222026978
"196",100.002333929953
"197",99.7932252649181
"198",99.4087122368848
"199",101.373155422512
"200",97.6588029723569
"201",98.7546305823595
"202",99.4073410091732
"203",100.814001792894
"204",101.389848990533
"205",97.7421812808004
"206",101.394218889456
"207",102.541962872048
"208",101.21022286847
"209",98.3576550395794
"210",99.8259714737203
"211",100.894784649652
"212",99.9991706610883
"213",97.1054576951308
"214",100.934580244136
"215",99.0110064284034
"216",99.7600336603277
"217",101.399349014466
"218",99.7969281463034
"219",99.1422772878049
"220",101.442215784514
"221",99.9374778381008
"222",101.457311607516
"223",101.003484100834
"224",98.9546426464138
"225",97.7371787800516
"226",100.976235585076
"227",99.3098934993842
"228",99.905175854
"229",99.8379055976894
"230",99.8543125716578
"231",100.345493125866
"232",100.264986014079
"233",101.114324377216
"234",97.4494990794877
"235",99.4218962262921
"236",99.0742078157886
"237",100.05149052204
"238",102.030213129047
"239",98.1586588987921
"240",101.321813267872
"241",100.512444840424
"242",101.979643360703
"243",101.470089774824
"244",103.07534568273
"245",99.162962568492
"246",96.3577052324756
"247",98.255637375979
"248",100.889675901455
"249",100.266035476399
"250",99.1918638579945
"251",100.252854431394
"252",101.510385507248
"253",100.887896695612
"254",99.332228542085
"255",101.825105674999
"256",99.7898116809799
"257",101.950583004901
"258",98.1416604573664
"259",98.7463446550874
"260",98.8625902868158
"261",99.8958309754564
"262",102.321228943606
"263",100.58084641195
"264",101.282138051291
"265",99.2381069593752
"266",100.151525415795
"267",100.905638388898
"268",100.583086191513
"269",100.043740465304
"270",101.040091040826
"271",97.7223858588666
"272",100.469467227579
"273",98.8247342222768
"274",98.9322256667694
"275",100.727122497483
"276",99.5145352700777
"277",100.018596438874
"278",100.943813633851
"279",100.223495908367
"280",101.307223188657
"281",100.190976494709
"282",101.241374604429
"283",97.0961858916304
"284",98.5371607010072
"285",98.6470583934928
"286",98.4785138755883
"287",100.302593607389
"288",98.2444729454473
"289",100.399185728293
"290",100.828739203978
"291",99.4706805557678
"292",101.126350727733
"293",100.344891112825
"294",98.3999534017421
"295",99.4368859346797
"296",102.910679697571
"297",99.7174735913865
"298",101.120941270813
"299",101.43799101475
"300",98.5856607849927
"301",99.1713399344978
"302",99.8164891014303
"303",102.084791839694
"304",99.3625308385143
"305",97.9521199399662
"306",99.8942427372472
"307",99.8298468369746
"308",96.1681541823229
"309",97.9189128096105
"310",98.9649105517384
"311",100.602806537725
"312",102.335053338297
"313",100.732079568679
"314",99.635035730566
"315",100.792742539859
"316",101.546437731657
"317",99.1214890846935
"318",99.8870118890369
"319",99.4626950472183
"320",101.350792494851
"321",98.6178379874352
"322",98.5949728078258
"323",98.9421535425397
"324",100.088248742441
"325",97.9945905722953
"326",97.9848877895669
"327",99.1535923688152
"328",98.2720659570259
"329",100.972501554445
"330",99.5609612924102
"331",98.2982288820642
"332",98.5649916907492
"333",100.68080650101
"334",99.9422748896423
"335",100.550502080002
"336",99.0720029400068
"337",97.2971722405738
"338",97.0588808960788
"339",99.9681176338472
"340",99.435084787281
"341",98.5410161941436
"342",99.2503102485987
"343",99.3146425690088
"344",103.001775632405
"345",99.1033952888729
"346",100.428586064953
"347",101.022180761997
"348",100.951296890134
